name;Число избирателей, внесенных в список избирателей на момент окончания голосования;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования;Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число открепительных удостоверений, полученных участковой избирательной комиссией;Число открепительных удостоверений, выданных на избирательном участке до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке;Число погашенных неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией;Число утраченных открепительных удостоверений;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении;Бриних Валерий Александрович;Гукасян Сергей Георгиевич;Коновалова Нина Николаевна;Лобода Александр Павлович;Огиенко Денис Сергеевич;Резник Владислав Матусович;Салов Евгений Иванович
Ставропольский край – Кавминводский;515577;447214;0;174306;12118;260789;12118;173884;11416;174586;3357;2579;2606;778;439;0;1;0;98200;14990;3331;6190;5290;2685;3431;18742;21727
Ленинградская область – Всеволожский;493160;470470;623;200618;9508;259714;10131;200077;10158;200050;7350;3494;2218;3856;477;0;7;0;100133;5791;22260;5971;23415;3100;7322;10074;13415;8569
Ставропольский край – Георгиевский;476746;449768;0;173444;23623;252701;23609;172920;10393;186136;3211;1617;1040;1594;318;0;0;0;10261;113501;3250;27470;5348;2427;2940;16831;4108
Белгородская область – Белгородский;574499;515104;0;319663;37963;157478;37963;319464;10361;347066;12804;11186;6719;1618;903;0;0;0;188964;8373;8008;43892;34286;18002;10659;34882
Кемеровская область – Заводский;493976;492774;0;407759;33929;51086;33929;407548;1708;439769;10287;6603;1185;3684;207;0;0;0;7133;28625;15820;36378;9652;342161
Ленинградская область – Волховский;423211;411451;0;162398;17543;231510;17542;162022;9657;169907;7587;4033;2412;3554;322;0;0;0;6234;6702;26078;4370;2992;15778;84066;13598;3431;3366;3292
Хабаровский край – Хабаровский;500408;454823;648;180386;11707;262082;12355;180105;8693;183767;10820;5523;2189;5297;1347;0;0;0;10367;5525;71086;13939;40074;5374;30680;6722
Магаданская область – Магаданский;107909;118312;1710;38793;1842;75967;3552;38756;1994;40314;2228;716;294;1512;287;0;0;0;19668;2571;1306;6252;5863;4654
Хабаровский край – Комсомольский;508101;504058;762;166590;6994;329712;7753;166330;13949;160134;10241;3730;2029;6511;1393;0;0;0;38876;10171;9384;3509;27245;63906;7043
Белгородская область – Старооскольский;628975;590252;0;341022;48190;201040;48189;340965;7616;381538;8890;6541;2640;2349;1188;0;0;0;5459;19583;21138;2792;37024;283931;3625;7986
Курская область – Сеймский;474552;406107;0;190044;30870;185193;30870;189868;7715;213023;6885;4388;3374;2497;1198;0;0;0;2924;16198;4458;2502;114855;7986;14516;38698;4487;1933;2907;1559
Волгоградская область – Волгоградский;466078;461859;254;184154;16928;260522;17158;183987;6816;194329;7293;3288;1875;4005;673;0;1;0;8813;7639;3822;83653;18185;3680;3223;44692;20622
Волгоградская область – Михайловский;475382;465192;0;184040;28190;252962;28190;183843;7025;205008;7169;4694;2802;2475;856;0;0;0;6721;4423;4396;21251;17693;119474;2670;5015;23365
Волгоградская область – Волжский;480552;461040;0;182930;15154;262955;15153;182650;7994;189809;7263;4859;3112;2404;953;0;1;0;4073;96094;3121;5972;22942;2544;32426;3306;13295;6036
Новосибирская область – Искитимский;520398;484060;0;186839;9239;287982;9239;186658;10609;185288;9899;4136;2018;5763;736;0;0;0;32041;1082;16452;87324;8280;1524;5980;24540;5503;2562
Воронежская область – Воронежский;494138;451000;0;199664;28533;222803;28526;199628;5603;222551;5968;4212;3216;1756;1658;0;0;0;38751;4774;21961;118980;11938;4921;4047;17179
Московская область – Балашихинский;564441;441389;0;218566;8420;214377;8402;217096;8984;216514;7899;4821;3300;3078;3513;0;26;0;8059;11363;21364;20186;8193;7523;6959;14735;118132
Новосибирская область – Новосибирский;543223;523006;0;179645;9218;334142;9219;179525;10935;177809;10740;6063;2711;4677;784;0;1;0;2744;6189;3522;2033;51063;68579;20788;7265;6525;7551;1550
Воронежская область – Правобережный;451437;460800;0;196641;27146;237013;27145;196521;5060;218606;4682;3799;2422;883;1336;0;0;0;12149;15350;4094;14524;3436;31292;6002;131759
Московская область – Серпуховский;464851;394719;0;169384;10527;214808;10527;169224;10035;169716;7412;4332;3014;3080;1454;0;0;0;5700;20908;21330;9879;71019;15334;8599;2463;6552;4832;3100
